sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
BABY,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
OLD MAN ROCKS,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
EGG,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
OUTER SIGNAL,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
INNER SIGNAL,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/CAPE SEDANKA,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/PRIEST ROCK,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/CAPE WISLOW,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/BISHOP POINT,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/KOVRIZHKA,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/MAKUSHIN BAY,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/CAPE STARICHKOF,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/SPRAY CAPE,9,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/WHALEBONE CAPE,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALASKA/CAPE IZIGAN,9,0,0,6,14,2004,18,2,5,,,SWFSC count from MF non-pup aerial survey photo
BOGOSLOF/FIRE ISLAND,9,1,1,6,23,2004,217,2,5,,,SWFSC count from MF non-pup aerial survey photo
UMNAK/CAPE ASLIK,9,1,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
EMERALD,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
POLIVNOI ROCK,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
THE PILLARS,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
OGCHUL,9,1,1,6,14,2004,43,2,5,,,SWFSC count from MF non-pup aerial survey photo
VSEVIDOF,9,1,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SAMALGA,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADUGAK,9,1,1,6,14,2004,149,2,5,,,SWFSC count from MF non-pup aerial survey photo
KAGAMIL,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHUGINADAK,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CARLISLE,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
HERBERT,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
YUNASKA,10,1,1,6,23,2004,75,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHAGULAK,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMUKTA+ROCKS,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/FINCH POINT,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/SW RIP,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/SADDLERIDGE,10,1,1,6,23,2004,506,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/TURF POINT,10,1,0,6,23,2004,15,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/LAVA COVE,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/LAVA POINT,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEGUAM/WHARF POINT,10,1,0,6,23,2004,2,2,5,,,SWFSC count from MF non-pup aerial survey photo
AGLIGADAK,10,1,0,6,15,2004,2,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMLIA/EAST CAPE,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMLIA/CAPE MISTY,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMLIA/SVIECH. HARBOR,10,0,0,6,15,2004,30,2,5,,,SWFSC count from MF non-pup aerial survey photo
TANADAK (AMLIA),10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SAGIGIK,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATKA/NORTH CAPE,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATKA/CAPE KOROVIN,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SALT,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KONIUJI/NORTH POINT,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KASATOCHI/NORTH POINT,10,1,1,6,15,2004,327,2,5,,,SWFSC count from MF non-pup aerial survey photo
OGLODAK,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
IKIGINAK,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
FENIMORE,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TAGALAK,10,0,0,6,15,2004,3,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHUGUL,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ANAGAKSIK,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
IGITKIN/SW POINT,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
GREAT SITKIN,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
LITTLE TANAGA STRAIT,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SILAK,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KAGALASKA,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADAK/CAPE MOFFET,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADAK/ARGONNE POINT,10,1,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADAK/LAKE POINT,10,1,1,6,15,2004,350,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADAK/CAPE YAKAK,10,1,0,6,15,2004,10,2,5,,,SWFSC count from MF non-pup aerial survey photo
ADAK/CRONE ISLAND,10,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KANAGA/N CAPE,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KANAGA/CAPE MIGA,10,0,0,6,15,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KANAGA/SHIP ROCK,10,0,1,6,15,2004,126,2,5,,,SWFSC count from MF non-pup aerial survey photo
KANAGA/CAPE CHUNU,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BOBROF,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TANAGA/BUMPY POINT,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TANAGA/CAPE SASMIK,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ILAK,10,0,0,6,23,2004,2,2,5,,,SWFSC count from MF non-pup aerial survey photo
GRAMP ROCK,10,1,1,6,23,2004,439,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGIDAK,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TAG,10,1,1,6,23,2004,150,2,5,,,SWFSC count from MF non-pup aerial survey photo
OGLIUGA,10,0,0,6,23,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
SKAGUL/S. POINT,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KAVALGA,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNALGA+DINKUM ROCKS,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ULAK/HASGOX POINT,10,1,1,6,23,2004,257,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMATIGNAK/KNOB POINT,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMATIGNAK/NITROF POINT,10,1,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEMISOPOCHNOI/POCHNOI,10,0,0,6,20,2004,17,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEMISOPOCHNOI/PETREL,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEMISOPOCHNOI/TUMAN POINT,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEMISOPOCHNOI/SW KNOB,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/CAPE IVAKIN,10,1,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/EAST CAPE,10,1,0,6,23,2004,23,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/OMEGA POINT,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/ST. MAKARIUS,10,0,0,6,23,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/COLUMN ROCK,10,0,1,6,20,2004,45,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/BIRD,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMCHITKA/CHITKA POINT,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AYUGADAK,10,1,1,6,20,2004,56,2,5,,,SWFSC count from MF non-pup aerial survey photo
HAWADAX (RAT),10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ROCK (KISKA),10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TANADAK (KISKA),10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TWIN ROCKS (KISKA),10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/SOUTH HEAD,10,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/GERTRUDE-BUKHTI,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/SOBAKA-VEGA,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/CAPE ST STEPHEN,10,1,1,6,20,2004,75,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/LIEF COVE,10,1,1,6,20,2004,101,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/WITCHCRAFT POINT,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KISKA/PILLAR ROCK,10,0,0,6,20,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BULDIR/EAST CAPE,11,0,1,6,21,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BULDIR/ROOKERY,11,1,1,6,21,2004,26,2,5,,,SWFSC count from MF non-pup aerial survey photo
BULDIR/NW ROCKS,11,1,1,6,21,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
INGENSTREM ROCKS,11,0,0,6,21,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SHEMYA,11,0,0,6,16,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
NIZKI,11,0,0,6,16,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ALAID,11,1,0,6,16,2004,20,2,5,,,SWFSC count from MF non-pup aerial survey photo
AGATTU/CAPE SABAK,11,1,1,6,21,2004,159,2,5,,,SWFSC count from MF non-pup aerial survey photo
AGATTU/GILLON POINT,11,1,1,6,21,2004,174,2,5,,,SWFSC count from MF non-pup aerial survey photo
DAN'S ROCKS,11,0,0,6,17,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATTU/MASSACRE BAY,11,0,0,6,17,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATTU/CHIRIKOF POINT,11,0,0,6,17,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATTU/CHICHAGOF POINT,11,0,0,6,17,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATTU/KRESTA POINT,11,0,0,6,17,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATTU/CAPE WRANGELL,11,0,1,6,21,2004,47,2,5,,,SWFSC count from MF non-pup aerial survey photo
OGCHUL,9,1,1,6,21,2005,65,5,1,,,"Gelatt field notes, KC 55, BD 53 + 11 skiff count, ave + 11"
AKUTAN/CAPE MORGAN,9,1,1,6,22,2005,657,5,1,,,"Gelatt fn - KC 589, BD 689, TG 624, avg TG and BD"
UGAMAK/NORTH,9,1,1,6,23,2005,426,5,1,,,"Gelatt fn - WT 381, KC 426, BD 426, drop WT avg KC&BD"
UGAMAK/UGAMAK BAY,9,1,1,6,24,2005,298,5,1,,,"Gelatt fn - kc 285, wt 318, bd 292 ave all"
UGAMAK/ROUND,9,1,1,6,24,2005,45,5,1,,,Gelatt fn - one count
CLUBBING ROCKS NORTH,8,1,1,6,25,2005,192,5,1,,,"Gelatt fn - bd 188, wt 196,"
CLUBBING ROCKS SOUTH,8,1,1,6,25,2005,391,5,1,,,"Gelatt fn - kc 376, jt 406"
JUDE,8,0,1,6,26,2005,206,5,1,,,"Gelatt fn - tg 218, wt 208, bd 193"
THE WHALEBACK,8,0,0,6,27,2005,23,5,1,,,Gelatt fn one count
CHERNABURA,8,1,1,6,27,2005,115,5,1,,,"Gelatt fn - one count 98 + 17 counted from skiff, probably low count"
CHOWIET,7,1,1,6,28,2005,309,5,1,,,"Gelatt fn - lots of parts and counters, consult field book for details"
TWOHEADED,7,1,0,6,29,2005,1,99,1,,,Gelatt field notes
LATAX ROCKS,7,1,0,6,30,2005,1,99,1,,,Gelatt field notes
SEAL ROCKS,6,1,1,7,2,2005,556,5,1,,,"Gelatt fn - kc 557, bd 554"
WOODED (FISH),6,1,1,7,3,2005,154,5,1,,,"Gelatt fn - wt 138, bd 170, second count done but not used, see field book for details"
WALRUS,12,0,1,7,26,2005,29,5,1,,,Brian Fadely count (Pribilofs)
WHITE SISTERS,5,1,1,7,10,2005,520,2,5,,,
BIALI ROCK,5,1,1,7,10,2005,100,2,5,,,
HAZY,5,1,1,7,10,2005,1286,2,5,,,
FORRESTER/SEA LION RK,5,1,1,7,10,2005,533,2,5,,,
FORRESTER/EAST RK,5,0,0,7,10,2005,134,2,5,,,
FORRESTER/C HORN RK,5,1,1,7,10,2005,303,2,5,,,
FORRESTER/LOWRIE,5,1,1,7,10,2005,1508,2,5,,,
GRAVES ROCK,5,1,1,7,10,2005,175,2,5,,,
SEAL ROCKS,6,1,1,6,21,2005,508,2,5,,,
WOODED (FISH),6,1,1,6,21,2005,96,2,5,,,
CHISWELL ISLANDS,6,1,1,6,21,2005,44,2,5,,,
OUTER (PYE),7,0,1,6,21,2005,104,2,5,,,
SUGARLOAF,7,1,1,6,21,2005,559,2,5,,,
USHAGAT,7,1,0,6,21,2005,55,2,5,,,
MARMOT,7,1,1,6,23,2005,433,2,5,,,
TWOHEADED,7,1,0,6,23,2005,16,2,5,,,
CHOWIET,7,1,1,6,23,2005,432,2,5,,,
CHIRIKOF,7,1,1,6,23,2005,123,2,5,,,
NAGAI ROCKS,7,0,0,6,23,2005,31,2,5,,,
LIGHTHOUSE ROCKS,8,0,1,6,23,2005,11,2,5,,,
ATKINS,8,1,1,6,23,2005,328,2,5,,,
CHERNABURA,8,1,1,7,9,2005,153,2,5,,,
THE WHALEBACK,8,0,0,6,23,2005,24,2,5,,,
JUDE,8,0,1,6,23,2005,168,2,5,,,
SUSHILNOI ROCKS,8,0,0,6,25,2005,12,2,5,,,
PINNACLE ROCK,8,1,1,6,25,2005,643,2,5,,,
CLUBBING ROCKS,8,1,1,6,25,2005,528,2,5,,,
SOUTH ROCKS,8,0,1,7,9,2005,44,2,5,,,
SEA LION ROCK (AMAK),9,1,1,6,23,2005,158,2,5,,,
UGAMAK/NORTH,9,1,1,6,25,2005,404,2,5,,,
UGAMAK/UGAMAK BAY,9,1,1,6,25,2005,239,2,5,,,
UGAMAK/ROUND,9,1,1,6,25,2005,44,2,5,,,
AKUTAN/CAPE MORGAN,9,1,1,6,25,2005,485,2,5,,,
UNALASKA/CAPE IZIGAN,9,0,0,7,9,2005,21,2,5,,,
OGCHUL,9,1,1,7,9,2005,78,2,5,,,
ADUGAK,9,1,1,7,9,2005,185,2,5,,,
SEGUAM/SADDLERIDGE,10,1,1,6,28,2005,530,2,5,,,
AGLIGADAK,10,1,0,7,9,2005,0,2,5,,,
SEGUAM/TURF POINT,10,1,0,7,9,2005,7,2,5,,,
AMLIA/SVIECH. HARBOR,10,0,0,7,9,2005,28,2,5,,,
ADAK/LAKE POINT,10,1,1,7,8,2005,311,2,5,,,
ADAK/CAPE YAKAK,10,1,0,7,8,2005,0,2,5,,,
KANAGA/SHIP ROCK,10,0,1,7,6,2005,221,2,5,,,
GRAMP ROCK,10,1,1,7,6,2005,387,2,5,,,
TAG,10,1,1,7,6,2005,144,2,5,,,
ULAK/HASGOX POINT,10,1,1,7,8,2005,338,2,5,,,
SEMISOPOCHNOI/POCHNOI,10,0,0,7,8,2005,16,2,5,,,
AMCHITKA/EAST CAPE,10,1,0,7,8,2005,24,2,5,,,
AMCHITKA/COLUMN ROCK,10,0,1,7,5,2005,44,2,5,,,
AYUGADAK,10,1,1,7,5,2005,83,2,5,,,
KISKA/CAPE ST STEPHEN,10,1,1,7,5,2005,82,2,5,,,
KISKA/LIEF COVE,10,1,1,7,5,2005,115,2,5,,,
BULDIR,11,0,1,7,8,2005,26,2,5,,,
ALAID,11,1,0,7,2,2005,27,2,5,,,
AGATTU/CAPE SABAK,11,1,1,7,2,2005,113,2,5,,,
AGATTU/GILLON POINT,11,1,1,7,2,2005,157,2,5,,,
ATTU/CAPE WRANGELL,11,0,1,7,8,2005,47,2,5,,,
AIKTAK,9,0,0,6,25,2005,8,2,5,,,
WALRUS,12,0,1,6,27,2005,27,2,5,,,
ST. PAUL/SEA LION ROCK,12,0,0,6,27,2005,0,2,5,,,
FORRESTER/NORTH RK,5,1,1,7,10,2005,951,2,5,,,
BOGOSLOF/FIRE ISLAND,9,1,1,6,23,2005,225,2,5,,,
KASATOCHI/NORTH POINT,10,1,1,6,28,2005,372,2,5,,,
KISKA/CAPE ST STEPHEN,10,1,1,6,27,2007,86,6,1,,,need individ cnts from gelatt book
KISKA/LIEF COVE,10,1,1,6,27,2007,48,6,1,,,need individ cnts from gelatt book
AGATTU/CAPE SABAK,11,1,1,6,28,2007,94,5,1,,,need individ cnts from gelatt book
AKUN/BILLINGS HEAD,9,1,1,7,3,2007,119,5,1,,,"checked vs gelatt field notes (elec) - cnts 113, 131, 112"
AKUN/BILLINGS HEAD,9,1,1,6,26,2009,148,5,1,,BF,To check to aerial photo count
AKUN/BILLINGS HEAD,9,1,1,6,26,2009,141,5,1,,RT,To check to aerial photo count
PINNACLE ROCK,8,1,1,6,28,2009,497,5,1,,RT,To check to aerial photo count
PINNACLE ROCK,8,1,1,6,28,2009,414,5,1,,BF,To check to aerial photo count
PINNACLE ROCK,8,1,1,6,28,2009,472,5,1,,JTS,To check to aerial photo count
ADAK/CAPE YAKAK,10,1,0,7,4,2009,0,3,1,,KLS,Logs for checkcount
ADAK/CAPE YAKAK,10,1,0,7,4,2009,0,3,1,,LF,Logs for checkcount
ADAK/LAKE POINT,10,1,1,7,4,2009,337,3,1,,KLS,Logs for checkcount
ADAK/LAKE POINT,10,1,1,7,4,2009,340,3,1,,LF,Logs for checkcount
ADUGAK,9,1,1,7,8,2009,278,3,1,,KLS,Logs for checkcount
ADUGAK,9,1,1,7,8,2009,275,3,1,,SF,Logs for checkcount
AGATTU/CAPE SABAK,11,1,1,6,30,2008,84,3,1,,KLS,Logs for checkcount
AGATTU/CAPE SABAK,11,1,1,6,30,2008,82,3,1,,LF,Logs for checkcount
AGATTU/GILLON POINT,11,1,1,6,30,2008,142,3,1,,KLS,Logs for checkcount
AGATTU/GILLON POINT,11,1,1,6,30,2008,143,3,1,,LF,Logs for checkcount
AGLIGADAK,10,1,0,7,7,2009,0,3,1,,KLS,Logs for checkcount
AGLIGADAK,10,1,0,7,7,2009,0,3,1,,LF,Logs for checkcount
AIKTAK,9,0,0,7,10,2009,2,3,1,,KLS,Logs for checkcount
AIKTAK,9,0,0,7,10,2009,2,3,1,,SF,Logs for checkcount
AKUTAN/CAPE MORGAN,9,1,1,7,8,2009,699,3,1,,KLS,Logs for checkcount
AKUTAN/CAPE MORGAN,9,1,1,7,8,2009,677,3,1,,SF,Logs for checkcount
AKUTAN/REEF-LAVA,9,1,0,7,8,2009,22,3,1,,KLS,Logs for checkcount
AKUTAN/REEF-LAVA,9,1,0,7,8,2009,22,3,1,,SF,Logs for checkcount
ALAID,11,1,0,6,24,2008,21,3,1,,KLS,Logs for checkcount
ALAID,11,1,0,6,24,2008,20,3,1,,LF,Logs for checkcount
AMAK+ROCKS,9,1,0,6,28,2009,1,3,1,,KLS,Logs for checkcount
AMAK+ROCKS,9,1,0,6,28,2009,1,3,1,,SF,Logs for checkcount
AMCHITKA/COLUMN ROCK,10,0,1,7,7,2009,38,3,1,,KLS,Logs for checkcount
AMCHITKA/COLUMN ROCK,10,0,1,7,7,2009,41,3,1,,LF,Logs for checkcount
AMCHITKA/EAST CAPE,10,1,0,7,7,2009,14,3,1,,KLS,Logs for checkcount
AMCHITKA/EAST CAPE,10,1,0,7,7,2009,12,3,1,,LF,Logs for checkcount
AMLIA/SVIECH. HARBOR,10,0,0,7,7,2009,35,3,1,,KLS,Logs for checkcount
AMLIA/SVIECH. HARBOR,10,0,0,7,7,2009,32,3,1,,LF,Logs for checkcount
ATKINS,8,1,1,6,28,2009,341,3,1,,KLS,Logs for checkcount
ATKINS,8,1,1,6,28,2009,334,3,1,,SF,Logs for checkcount
AYUGADAK,10,1,1,7,4,2009,44,3,1,,KLS,Logs for checkcount
AYUGADAK,10,1,1,7,4,2009,43,3,1,,LF,Logs for checkcount
BIALI ROCK,5,1,1,6,24,2009,144,3,1,,KLS,Logs for checkcount
BIALI ROCK,5,1,1,6,24,2009,143,3,1,,CJ,Logs for checkcount
BOGOSLOF/FIRE ISLAND,9,1,1,7,8,2009,283,3,1,,KLS,Logs for checkcount
BOGOSLOF/FIRE ISLAND,9,1,1,7,8,2009,280,3,1,,SF,Logs for checkcount
BULDIR/ROOKERY,11,1,1,7,2,2008,7,3,1,,KLS,Logs for checkcount
BULDIR/ROOKERY,11,1,1,7,20,2008,7,3,1,,LF,Logs for checkcount
CAPE FAIRFIELD,6,0,0,6,26,2009,0,3,1,,KLS,Logs for checkcount
CAPE FAIRFIELD,6,0,0,6,26,2009,0,3,1,,SF,Logs for checkcount
CAPE HINCHINBROOK,6,0,0,6,26,2009,0,3,1,,KLS,Logs for checkcount
CAPE HINCHINBROOK,6,0,0,6,26,2009,0,3,1,,SF,Logs for checkcount
CAPE OMMANEY,5,0,0,6,24,2009,1,3,1,,KLS,Logs for checkcount combined with photo count of South of Cape Ommaney (0)
CAPE OMMANEY,5,0,0,6,24,2009,1,3,1,,SF,Logs for checkcount combined with photo count of South of Cape Ommaney (0)
CAPE RESURRECTION,6,0,0,6,26,2009,1,3,1,,KLS,Logs for checkcount
CAPE RESURRECTION,6,0,0,6,26,2009,1,3,1,,SF,Logs for checkcount
CAPE ST. ELIAS,6,1,0,6,25,2009,18,3,1,,KLS,Logs for checkcount
CAPE ST. ELIAS,6,1,0,6,25,2009,17,3,1,,SF,Logs for checkcount
CHERNABURA,8,1,1,7,14,2009,244,3,1,,KLS,Logs for checkcount
CHERNABURA,8,1,1,7,14,2009,244,3,1,,LF,Logs for checkcount
CHIRIKOF,7,1,1,7,14,2009,214,3,1,,KLS,Logs for checkcount
CHIRIKOF,7,1,1,7,14,2009,218,3,1,,LF,Logs for checkcount
CHISWELL ISLANDS,6,1,1,6,26,2009,64,3,1,,KLS,Logs for checkcount
CHISWELL ISLANDS,6,1,1,6,26,2009,64,3,1,,SF,Logs for checkcount
CHOWIET,7,1,1,6,28,2009,363,3,1,,KLS,Logs for checkcount
CHOWIET,7,1,1,6,28,2009,358,3,1,,SF,Logs for checkcount
CLUBBING ROCKS NORTH,8,1,1,7,14,2009,247,3,1,,KLS,Logs for checkcount
CLUBBING ROCKS NORTH,8,1,1,7,14,2009,242,3,1,,LF,Logs for checkcount
CLUBBING ROCKS SOUTH,8,1,1,7,14,2009,526,3,1,,KLS,Logs for checkcount
CLUBBING ROCKS SOUTH,8,1,1,7,14,2009,541,3,1,,LF,Logs for checkcount
EASTERLY,5,0,0,6,24,2009,1,3,1,,KLS,Logs for checkcount
EASTERLY,5,0,0,6,24,2009,1,3,1,,CJ,Logs for checkcount
FORRESTER/C HORN RK,5,1,1,6,24,2009,451,3,1,,KLS,Logs for checkcount
FORRESTER/C HORN RK,5,1,1,6,24,2009,431,3,1,,CJ,Logs for checkcount
FORRESTER/FORRESTER ISLAND,5,1,0,6,24,2009,0,3,1,,KLS,Logs for checkcount
FORRESTER/FORRESTER ISLAND,5,1,0,6,24,2009,0,3,1,,CJ,Logs for checkcount
FORRESTER/LOWRIE,5,1,1,6,24,2009,1763,3,1,,KLS,Logs for checkcount
FORRESTER/LOWRIE,5,1,1,6,24,2009,1706,3,1,,SF,Logs for checkcount
FORRESTER/NORTH RK,5,1,1,6,24,2009,1240,3,1,,KLS,Logs for checkcount
FORRESTER/NORTH RK,5,1,1,6,24,2009,1206,3,1,,LF,Logs for checkcount
FORRESTER/SEA LION RK,5,1,1,6,24,2009,641,3,1,,KLS,Logs for checkcount
FORRESTER/SEA LION RK,5,1,1,6,24,2009,635,3,1,,LF,Logs for checkcount
GLACIER,6,1,0,6,26,2009,4,3,1,,KLS,Logs for checkcount
GLACIER,6,1,0,6,26,2009,4,3,1,,SF,Logs for checkcount
GRAMP ROCK,10,1,1,7,4,2009,334,3,1,,KLS,Logs for checkcount
GRAMP ROCK,10,1,1,7,4,2009,331,3,1,,LF,Logs for checkcount
GRAN (LEDGE) POINT,5,0,0,6,24,2009,0,3,1,,KLS,Logs for checkcount
GRAN (LEDGE) POINT,5,0,0,6,24,2009,0,3,1,,CJ,Logs for checkcount
GRAVES ROCK,5,1,1,6,25,2009,444,3,1,,KLS,Logs for checkcount
GRAVES ROCK,5,1,1,6,25,2009,435,3,1,,SF,Logs for checkcount
HARBOR POINT,5,1,0,6,25,2009,0,3,1,,KLS,Logs for checkcount
HARBOR POINT,5,1,0,6,25,2009,0,3,1,,SF,Logs for checkcount
HAZY,5,1,1,6,24,2009,1993,3,1,,KLS,Logs for checkcount
HAZY,5,1,1,6,24,2009,1959,3,1,,CJ,Logs for checkcount
JACOB ROCK,5,1,0,6,24,2009,2,3,1,,KLS,Logs for checkcount
