sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
AKUN/BILLINGS HEAD,9,1,1,7,2,1993,51,5,1,,,field notes
ATKINS,8,1,1,7,6,1993,419,5,1,,,
CHIRIKOF,7,1,1,7,7,1993,344,5,1,,,
MARMOT,7,1,1,7,9,1993,986,5,1,,,
PINNACLE ROCK,8,1,1,7,4,1993,773,5,1,,,
UGAMAK COMPLEX,9,1,1,7,3,1993,711,5,1,,,Ugamak only
HAZY,5,1,1,7,26,1993,759,5,2,,,
OUTER (PYE),7,0,1,7,2,1993,181,5,2,,,
SEAL ROCKS,6,1,1,7,1,1993,566,5,2,,,
WHITE SISTERS,5,1,1,7,11,1993,115,5,2,,,
WOODED (FISH),6,1,1,7,1,1993,514,5,2,,,
ADUGAK,9,1,1,6,25,1994,180,5,1,,,checked to field book
AKUTAN/CAPE MORGAN,9,1,1,6,23,1994,631,5,1,,,checked to field book
MARMOT,7,1,1,6,27,1994,804,5,1,,,"""Strick et al, 1997"""
OGCHUL,9,1,1,6,24,1994,94,5,1,,,checked to field book
SEGUAM/SADDLERIDGE,10,1,1,6,27,1994,444,5,1,,,checked to field book
YUNASKA,10,1,1,6,26,1994,217,5,1,,,checked to field book
ATKINS,8,1,1,6,29,1994,324,5,2,,,"""Strick et al, 1997"""
CHERNABURA,8,1,1,6,29,1994,139,5,2,,,"""Strick et al, 1997"""
CHIRIKOF,7,1,1,6,28,1994,325,5,2,,,"""Strick et al, 1997"""
CHOWIET,7,1,1,6,28,1994,625,5,2,,,"""Strick et al, 1997"""
FORRESTER COMPLEX,5,1,1,6,30,1994,2757,5,2,,,"""Strick et al, 1997"""
SUGARLOAF,7,1,1,6,26,1994,958,5,2,,,"""Strick et al, 1997"""
ADAK,10,0,0,7,2,1994,327,5,1,,,"""checked to field book, prior name was c yakak/lake pt"""
AKUN/BILLINGS HEAD,9,1,1,7,12,1994,69,5,1,,,checked to field book
AMCHITKA/COLUMN ROCK,10,0,1,7,4,1994,114,5,1,,,checked to field book
AYUGADAK,10,1,1,7,5,1994,142,5,1,,,checked to field book
GRAMP ROCK,10,1,1,7,3,1994,425,5,1,,,checked to field book
KASATOCHI/NORTH POINT,10,1,1,7,8,1994,215,5,1,,,checked to field book
KISKA/CAPE ST STEPHEN,10,1,1,7,6,1994,120,5,1,,,checked to field book
KISKA/LIEF COVE,10,1,1,7,6,1994,233,5,1,,,checked to field book
TAG,10,1,1,7,3,1994,234,5,1,,,checked to field book
UGAMAK COMPLEX,9,1,1,7,17,1994,574,5,1,,,"""checked to field book, Ugamak only"""
ULAK/HASGOX POINT,10,1,1,7,3,1994,638,5,1,,,checked to field book
CLUBBING ROCKS,8,1,1,7,1,1994,547,5,2,,,"""Strick et al, 1997"""
HAZY,5,1,1,7,1,1994,862,5,2,,,"""Strick et al, 1997"""
OUTER (PYE),7,0,1,7,3,1994,119,5,2,,,"""Strick et al, 1997"""
PINNACLE ROCK,8,1,1,7,1,1994,652,5,2,,,"""Strick et al, 1997"""
SEAL ROCKS,6,1,1,7,2,1994,598,5,2,,,"""Strick et al, 1997"""
WHITE SISTERS,5,1,1,7,2,1994,151,5,2,,,"""Strick et al, 1997"""
WOODED (FISH),6,1,1,7,2,1994,305,5,2,,,"""Strick et al, 1997"""
BOGOSLOF/FIRE ISLAND,9,1,1,6,22,1995,282,5,99,,,checked to field book
FORRESTER COMPLEX,5,1,1,6,24,1995,2869,5,2,,,
UGAMAK COMPLEX,9,1,1,6,27,1996,706,5,1,,,"""checked to field book,27 (S) 29 (N) June, Ugamak only"""
ATKINS,8,1,1,7,2,1996,366,5,1,,,checked to field book (7/2 and 7/7/96)
MARMOT,7,1,1,7,10,1996,632,5,1,,,checked to field book
FORRESTER COMPLEX,5,1,1,7,1,1996,2764,5,2,,,"""Strick et al, 1999"""
HAZY,5,1,1,7,3,1996,768,5,2,,,"""Strick et al, 1999"""
SEAL ROCKS,6,1,1,7,14,1996,352,5,2,,,"""Strick et al, 1999"""
WHITE SISTERS,5,1,1,7,3,1996,182,5,2,,,"""Strick et al, 1999"""
WOODED (FISH),6,1,1,7,13,1996,232,5,2,,,"""Strick et al, 1999"""
AGATTU/CAPE SABAK,11,1,1,6,25,1997,379,5,1,,,checked to field book
AGATTU/GILLON POINT,11,1,1,6,25,1997,258,5,1,,,checked to field book
ATTU/CAPE WRANGELL,11,0,1,6,24,1997,222,5,1,,,checked to field book
