"","year","sitename","meanPups"
"1100",2013,"Castle Rock",0
"1101",2013,"Caton",0
"1102",2013,"Chernabura",248
"1103",2013,"Chirikof",196
"1104",2013,"Chiswell Islands",76
"1105",2013,"Chowiet",612
"1106",2013,"Clubbing Rocks North",292
"1107",2013,"Clubbing Rocks South",601
"1108",2013,"Coronation",0
"1109",2013,"Easterly",2
"1110",2013,"Forrester/c Horn Rk",268
"1111",2013,"Forrester/Forrester Island",0
"1112",2013,"Forrester/Lowrie",1870
"1113",2013,"Forrester/North Rk",577
"1114",2013,"Forrester/Sea Lion Rk",499
"1115",2013,"Glacier",6
"1116",2013,"Gran (Ledge) Point",0
"1117",2013,"Granite Cape",0
"1118",2013,"Graves Rock",551
"1119",2013,"Grindall",0
"1120",2013,"Hazy",1837
"1121",2013,"Hook Point",0
"1122",2013,"Inian",0
"1123",2013,"Jacob Rock",0
"1124",2013,"Jude",340
"1125",2013,"Kaiuchali (Biorka)",0
"1126",2013,"Kak",0
"1127",2013,"Kilokak Rocks",0
"1128",2013,"Kodiak/Cape Ikolik",0
"1129",2013,"Kodiak/Cape Ugat",0
"1130",2013,"Kodiak/Steep Cape",0
"1131",2013,"Latax Rocks",15
"1132",2013,"Lighthouse Rocks",8
"1133",2013,"Long Island",0
"1134",2013,"Marmot",557
"1135",2013,"Middle Pass Rock",0
"1136",2013,"Nagai Rocks",7
"1137",2013,"Nagai/Mountain Point",0
"1138",2013,"Natoa (Grotto)",1
"1139",2013,"Olga Rocks Ne",0
"1140",2013,"Olga Rocks Sw",1
"1141",2013,"Outer (Pye)",133
"1142",2013,"Perl",0
"1143",2013,"Pinnacle Rock",742
"1144",2013,"Point Elrington",1
"1145",2013,"Point Marsh",0
"1146",2013,"Procession Rocks",2
"1147",2013,"Puale Bay",0
"1148",2013,"Ragged/Hoof Point",0
"1149",2013,"Rk Near Sea Otter",0
"1150",2013,"Sail",0
"1151",2013,"Sea Lion Islands",2
"1152",2013,"Sea Lion Rock (Puffin Bay)",0
"1153",2013,"Sea Lion Rocks (Marmot)",0
"1154",2013,"Sea Lion Rocks (Shumagins)",0
"1155",2013,"Sea Otter",0
"1156",2013,"Seal Rocks",802
"1157",2013,"Seal Rocks (Kenai)",0
