"","year","sitename","meanPups"
"606",2004,"Tanaga/Bumpy Point",0
"607",2004,"Tanaga/Cape Sasmik",0
"608",2004,"Ilak",2
"609",2004,"Gramp Rock",439
"610",2004,"Ugidak",0
"611",2004,"Tag",150
"612",2004,"Ogliuga",1
"613",2004,"Skagul/S. Point",0
"614",2004,"Kavalga",0
"615",2004,"Unalga+dinkum Rocks",0
"616",2004,"Ulak/Hasgox Point",257
"617",2004,"Amatignak/Knob Point",0
"618",2004,"Amatignak/Nitrof Point",0
"619",2004,"Semisopochnoi/Pochnoi",17
"620",2004,"Semisopochnoi/Petrel",0
"621",2004,"Semisopochnoi/Tuman Point",0
"622",2004,"Semisopochnoi/Sw Knob",0
"623",2004,"Amchitka/Cape Ivakin",0
"624",2004,"Amchitka/East Cape",23
"625",2004,"Amchitka/Omega Point",0
"626",2004,"Amchitka/St. Makarius",0
"627",2004,"Amchitka/Column Rock",45
"628",2004,"Amchitka/Bird",0
"629",2004,"Amchitka/Chitka Point",0
"630",2004,"Ayugadak",56
"631",2004,"Hawadax (Rat)",0
"632",2004,"Sea Lion Rock (Kiska)",0
"633",2004,"Tanadak (Kiska)",0
"634",2004,"Twin Rocks (Kiska)",0
"635",2004,"Kiska/South Head",0
"636",2004,"Kiska/Gertrude-Bukhti",0
"637",2004,"Kiska/Sobaka-Vega",0
"638",2004,"Kiska/Cape St Stephen",75
"639",2004,"Kiska/Lief Cove",101
"640",2004,"Kiska/Witchcraft Point",0
"641",2004,"Kiska/Pillar Rock",0
"642",2004,"Buldir/East Cape",0
"643",2004,"Buldir/Rookery",26
"644",2004,"Buldir/Nw Rocks",0
"645",2004,"Ingenstrem Rocks",0
"646",2004,"Shemya",0
"647",2004,"Nizki",0
"648",2004,"Alaid",20
"649",2004,"Agattu/Cape Sabak",159
"650",2004,"Agattu/Gillon Point",174
"651",2004,"Dan's Rocks",0
"652",2004,"Attu/Massacre Bay",0
"653",2004,"Attu/Chirikof Point",1
"654",2004,"Attu/Chichagof Point",0
"655",2004,"Attu/Kresta Point",0
"656",2004,"Attu/Cape Wrangell",47
"657",2005,"Ogchul",72
"658",2005,"Akutan/Cape Morgan",571
"659",2005,"Ugamak/North",415
"660",2005,"Ugamak/Ugamak Bay",268
"661",2005,"Ugamak/Round",44
"662",2005,"Clubbing Rocks North",192
"663",2005,"Clubbing Rocks South",391
"664",2005,"Jude",187
"665",2005,"The Whaleback",24
"666",2005,"Chernabura",134
"667",2005,"Chowiet",370
"668",2005,"Twoheaded",8
"669",2005,"Latax Rocks",1
"670",2005,"Seal Rocks",532
"671",2005,"Wooded (Fish)",125
"672",2005,"Walrus",28
"673",2005,"White Sisters",520
"674",2005,"Biali Rock",100
"675",2005,"Hazy",1286
"676",2005,"Forrester/Sea Lion Rk",533
"677",2005,"Forrester/East Rk",134
"678",2005,"Forrester/c Horn Rk",303
"679",2005,"Forrester/Lowrie",1508
"680",2005,"Graves Rock",175
"681",2005,"Chiswell Islands",44
"682",2005,"Outer (Pye)",104
"683",2005,"Sugarloaf",559
"684",2005,"Ushagat",55
"685",2005,"Marmot",433
"686",2005,"Chirikof",123
"687",2005,"Nagai Rocks",31
"688",2005,"Lighthouse Rocks",11
"689",2005,"Atkins",328
"690",2005,"Sushilnoi Rocks",12
"691",2005,"Pinnacle Rock",643
"692",2005,"Clubbing Rocks",528
"693",2005,"South Rocks",44
"694",2005,"Sea Lion Rock (Amak)",158
"695",2005,"Unalaska/Cape Izigan",21
"696",2005,"Adugak",185
"697",2005,"Seguam/Saddleridge",530
"698",2005,"Agligadak",0
"699",2005,"Seguam/Turf Point",7
"700",2005,"Amlia/Sviech. Harbor",28
"701",2005,"Adak/Lake Point",311
"702",2005,"Adak/Cape Yakak",0
"703",2005,"Kanaga/Ship Rock",221
"704",2005,"Gramp Rock",387
"705",2005,"Tag",144
"706",2005,"Ulak/Hasgox Point",338
"707",2005,"Semisopochnoi/Pochnoi",16
"708",2005,"Amchitka/East Cape",24
"709",2005,"Amchitka/Column Rock",44
"710",2005,"Ayugadak",83
"711",2005,"Kiska/Cape St Stephen",82
"712",2005,"Kiska/Lief Cove",115
"713",2005,"Buldir",26
"714",2005,"Alaid",27
"715",2005,"Agattu/Cape Sabak",113
"716",2005,"Agattu/Gillon Point",157
"717",2005,"Attu/Cape Wrangell",47
"718",2005,"Aiktak",8
"719",2005,"St. Paul/Sea Lion Rock",0
"720",2005,"Forrester/North Rk",951
"721",2005,"Bogoslof/Fire Island",225
"722",2005,"Kasatochi/North Point",372
"723",2007,"Kiska/Cape St Stephen",86
"724",2007,"Kiska/Lief Cove",48
"725",2007,"Agattu/Cape Sabak",94
"726",2007,"Akun/Billings Head",119
"727",2009,"Akun/Billings Head",144
"728",2009,"Pinnacle Rock",557
"729",2009,"Adak/Cape Yakak",0
"730",2009,"Adak/Lake Point",338
"731",2009,"Adugak",276
"732",2008,"Agattu/Cape Sabak",83
"733",2008,"Agattu/Gillon Point",142
"734",2009,"Agligadak",0
"735",2009,"Aiktak",2
"736",2009,"Akutan/Cape Morgan",688
"737",2009,"Akutan/Reef-Lava",22
"738",2008,"Alaid",20
"739",2009,"Amak+rocks",1
"740",2009,"Amchitka/Column Rock",40
"741",2009,"Amchitka/East Cape",13
"742",2009,"Amlia/Sviech. Harbor",34
"743",2009,"Atkins",338
"744",2009,"Ayugadak",44
"745",2009,"Biali Rock",144
"746",2009,"Bogoslof/Fire Island",282
"747",2008,"Buldir/Rookery",7
"748",2009,"Cape Fairfield",0
"749",2009,"Cape Hinchinbrook",0
"750",2009,"Cape Ommaney",1
"751",2009,"Cape Resurrection",1
"752",2009,"Cape St. Elias",18
"753",2009,"Chernabura",244
"754",2009,"Chirikof",216
"755",2009,"Chiswell Islands",64
"756",2009,"Chowiet",360
"757",2009,"Clubbing Rocks North",244
"758",2009,"Clubbing Rocks South",534
"759",2009,"Easterly",1
"760",2009,"Forrester/c Horn Rk",441
"761",2009,"Forrester/Forrester Island",0
"762",2009,"Forrester/Lowrie",1734
"763",2009,"Forrester/North Rk",1223
"764",2009,"Forrester/Sea Lion Rk",638
"765",2009,"Glacier",4
"766",2009,"Gramp Rock",332
"767",2009,"Gran (Ledge) Point",0
"768",2009,"Graves Rock",440
"769",2009,"Harbor Point",0
"770",2009,"Hazy",1976
"771",2009,"Jacob Rock",2
"772",2009,"Jude",270
"773",2009,"Kanaga/Cape Chunu",0
"774",2009,"Kanaga/Ship Rock",214
"775",2009,"Kasatochi/North Point",394
"776",2009,"Kiska/Cape St Stephen",91
"777",2009,"Kiska/Lief Cove",80
"778",2009,"Kodiak/Cape Barnabas",0
"779",2009,"Kodiak/Cape Chiniak",0
"780",2009,"Kodiak/Cape Ugat",1
"781",2009,"Kodiak/Gull Point",0
"782",2009,"Latax Rocks",12
"783",2009,"Lighthouse Rocks",16
"784",2009,"Long Island",0
"785",2009,"Marmot",509
"786",2009,"Nagai Rocks",18
"787",2009,"Ogchul",90
"788",2009,"Oglodak",4
"789",2009,"Outer (Pye)",122
"790",2009,"Perl",0
"791",2009,"Point Elrington",1
"792",2009,"Point Lull",0
"793",2009,"Procession Rocks",0
"794",2009,"Rk Near Sea Otter",0
"795",2009,"Sail",0
"796",2009,"Sea Lion Islands",0
"797",2009,"Sea Lion Rock (Amak)",185
"798",2009,"Sea Lion Rock (Puffin Bay)",0
"799",2009,"Seal Rocks",740
"800",2009,"Seguam/Saddleridge",540
"801",2009,"Seguam/Turf Point",0
"802",2009,"Semisopochnoi/Pochnoi",5
"803",2009,"Sitkinak/Cape Sitkinak",0
"804",2009,"South Marble",0
"805",2009,"South Rocks",60
"806",2009,"Sugarloaf",613
"807",2009,"Sunset",1
"808",2009,"Sushilnoi Rocks",34
"809",2009,"Sutwik",12
"810",2009,"Tag",130
"811",2009,"The Brothers/Sw",2
"812",2009,"The Needle",20
"813",2009,"The Whaleback",40
"814",2009,"Tigalda/Rocks Ne",0
"815",2009,"Twoheaded",14
"816",2009,"Ugamak/North",512
"817",2009,"Ugamak/Round",71
"818",2009,"Ugamak/Ugamak Bay",326
"819",2009,"Ulak/Hasgox Point",272
"820",2009,"Unalaska/Bishop Point",0
"821",2009,"Unalaska/Cape Izigan",29
"822",2009,"Ushagat/Rocks South",1
"823",2009,"Ushagat/Sw",70
"824",2009,"West Rock",2
"825",2009,"White Sisters",847
"826",2009,"Wolf Rock",0
"827",2009,"Wooded (Fish)",178
"828",2009,"Yasha",10
"829",2009,"Yunaska",170
"830",2009,"Unimak/Oksenof Point",6
"831",2009,"Aialik Cape",1
"832",2009,"Steep Point",0
"833",2010,"Adak/Argonne Point",0
"834",2010,"Adak/Cape Yakak",2
"835",2010,"Adak/Crone Island",0
"836",2010,"Adak/Lake Point",318
"837",2010,"Adugak",242
"838",2010,"Agligadak",1
"839",2010,"Akutan/Cape Morgan",730
"840",2010,"Akutan/Reef-Lava",10
"841",2010,"Amatignak/Nitrof Point",0
"842",2010,"Amlia/East Cape",2
"843",2010,"Amlia/Sviech. Harbor",30
"844",2010,"Amukta+rocks",0
"845",2010,"Biali Rock",85
"846",2010,"Bogoslof/Fire Island",332
"847",2010,"Cape Addington",1
"848",2010,"Cape Bartolome",0
"849",2010,"Cape Fairfield",0
"850",2010,"Cape Ommaney",0
"851",2010,"Cape Resurrection",0
"852",2010,"Cape St. Elias",14
"853",2010,"Chagulak",0
"854",2010,"Chirikof",82
"855",2010,"Chiswell Islands",48
"856",2010,"Chowiet",321
"857",2010,"Chuginadak",0
"858",2010,"Chugul",0
"859",2010,"Coronation",0
"860",2010,"Danger",0
"861",2010,"Easterly",0
"862",2010,"Egg",0
"863",2010,"Forrester/c Horn Rk",165
"864",2010,"Forrester/Forrester Island",0
"865",2010,"Forrester/Lowrie",1608
"866",2010,"Forrester/North Rk",472
"867",2010,"Forrester/Sea Lion Rk",428
"868",2010,"Glacier",0
"869",2010,"Gramp Rock",299
"870",2010,"Gran (Ledge) Point",0
"871",2010,"Grindall",0
"872",2010,"Natoa (Grotto)",1
"873",2010,"Hazy",1357
"874",2010,"Herbert",0
"875",2010,"Ilak",0
"876",2010,"Inner Signal",0
"877",2010,"Jacob Rock",0
"878",2010,"Kagalaska",0
"879",2010,"Kaiuchali (Biorka)",0
"880",2010,"Kanaga/Cape Chunu",3
"881",2010,"Kanaga/Ship Rock",214
"882",2010,"Kasatochi/North Point",354
"883",2010,"Kodiak/Cape Ugat",4
"884",2010,"Latax Rocks",9
"885",2010,"Marmot",276
"886",2010,"Ogchul",116
"887",2010,"Oglodak",3
"888",2010,"Old Man Rocks",2
"889",2010,"Outer (Pye)",102
"890",2010,"Outer Signal",0
"891",2010,"Perl",0
"892",2010,"Point Elrington",3
"893",2010,"Point Marsh",0
"894",2010,"Polivnoi Rock",0
"895",2010,"Procession Rocks",0
"896",2010,"Sagigik",0
"897",2010,"Sail",0
"898",2010,"Sea Lion Rock (Amak)",154
"899",2010,"Sea Lion Rock (Puffin Bay)",0
"900",2010,"Seal Rocks",514
"901",2010,"Seal Rocks (Kenai)",0
"902",2010,"Seguam/Saddleridge",518
"903",2010,"Seguam/Sw Rip",0
"904",2010,"Seguam/Wharf Point",0
"905",2010,"Shakun Rocks",2
"906",2010,"Silak",1
"907",2010,"Cape Ommaney/s",0
"908",2010,"Sugarloaf",424
"909",2010,"Sutwik",11
"910",2010,"Tag",135
"911",2010,"Tagalak",1
"912",2010,"Tanadak (Amlia)",0
"913",2010,"Tanaga/Cape Sasmik",3
"914",2010,"The Brothers/Sw",0
"915",2010,"The Needle",15
"916",2010,"The Pillars",1
"917",2010,"Timbered",1
"918",2010,"Twoheaded",34
"919",2010,"Ulak/Hasgox Point",264
"920",2010,"Uliaga",8
"921",2010,"Unalaska/Bishop Point",2
"922",2010,"Unalaska/Cape Izigan",41
"923",2010,"Ushagat/Sw",38
"924",2010,"Vsevidof",0
"925",2010,"West Rock",2
"926",2010,"Wooded (Fish)",224
"927",2010,"Yasha",9
"928",2010,"Yunaska",185
"929",2011,"Adak/Cape Yakak",0
"930",2011,"Adak/Lake Point",310
"931",2011,"Adugak",250
"932",2011,"Agattu/Cape Sabak",65
"933",2011,"Agattu/Gillon Point",83
"934",2011,"Agligadak",0
"935",2011,"Aiktak",2
"936",2011,"Akutan/Cape Morgan",734
"937",2011,"Akutan/Reef-Lava",21
"938",2011,"Amak+rocks",1
"939",2011,"Amlia/Cape Misty",0
"940",2011,"Amlia/East Cape",0
"941",2011,"Amlia/Sviech. Harbor",35
"942",2011,"Amukta+rocks",0
"943",2011,"Anagaksik",0
"944",2011,"Atka/North Cape",0
"945",2011,"Atkins",380
"946",2011,"Attu/Cape Wrangell",23
"947",2011,"Attu/Chichagof Point",0
"948",2011,"Attu/Chirikof Point",0
"949",2011,"Bird",2
"950",2011,"Bobrof",0
"951",2011,"Bogoslof/Fire Island",323
"952",2011,"Cape Hinchinbrook",0
"953",2011,"Cape Resurrection",1
"954",2011,"Cape St. Elias",26
"955",2011,"Carlisle",0
"956",2011,"Caton",0
"957",2011,"Chagulak",0
"958",2011,"Chernabura",250
"959",2011,"Chirikof",186
"960",2011,"Chiswell Islands",84
"961",2011,"Chowiet",453
"962",2011,"Chuginadak",0
"963",2011,"Chugul",0
"964",2011,"Clubbing Rocks North",282
"965",2011,"Clubbing Rocks South",546
"966",2011,"Fenimore",0
"967",2011,"Glacier",5
"968",2011,"Great Sitkin",0
"969",2011,"Herbert",3
"970",2011,"Hook Point",0
"971",2011,"Jude",300
"972",2011,"Kagamil",0
"973",2011,"Kanaga/Cape Miga",0
"974",2011,"Kanaga/Ship Rock",208
"975",2011,"Kasatochi/North Point",373
"976",2011,"Kilokak Rocks",2
"977",2011,"Kodiak/Cape Chiniak",0
"978",2011,"Kodiak/Cape Ugat",0
"979",2011,"Kupreanof Point",0
"980",2011,"Latax Rocks",18
"981",2011,"Lighthouse Rocks",9
"982",2011,"Little Tanaga Strait",0
"983",2011,"Marmot",524
"984",2011,"Mitrofania",2
"985",2011,"Nagai Rocks",8
"986",2011,"Natoa (Grotto)",0
"987",2011,"Ogchul",109
"988",2011,"Oglodak",0
"989",2011,"Old Man Rocks",0
"990",2011,"Olga Rocks Ne",0
"991",2011,"Olga Rocks Sw",1
"992",2011,"Outer (Pye)",145
"993",2011,"Perl",0
"994",2011,"Pinnacle Rock",748
"995",2011,"Point Elrington",2
"996",2011,"Polivnoi Rock",0
"997",2011,"Procession Rocks",0
"998",2011,"Sagigik",0
"999",2011,"Sea Lion Rock (Amak)",200
"1000",2011,"Sea Lion Rocks (Shumagins)",0
"1001",2011,"Seal Rocks",728
"1002",2011,"Seguam/Saddleridge",504
"1003",2011,"Seguam/Turf Point",0
"1004",2011,"Seguam/Wharf Point",0
"1005",2011,"Shakun Rocks",1
"1006",2011,"Shemya",0
"1007",2011,"Silak",0
"1008",2011,"South Rocks",70
"1009",2011,"Sugarloaf",767
"1010",2011,"Sushilnoi Rocks",27
"1011",2011,"Sutwik",24
"1012",2011,"Tagalak",2
"1013",2011,"Tanadak (Amlia)",0
"1014",2011,"Tanaga/Cape Sudak",0
"1015",2011,"Tanaga/Cape Sasmik",2
"1016",2011,"The Needle",30
"1017",2011,"The Pillars",1
"1018",2011,"The Whaleback",52
"1019",2011,"Tigalda/Rocks Ne",0
"1020",2011,"Tigalda/South Side",0
"1021",2011,"Twoheaded",52
"1022",2011,"Ugamak/North",484
"1023",2011,"Ugamak/Round",154
"1024",2011,"Ugamak/Ugamak Bay",331
"1025",2011,"Uliaga",0
"1026",2011,"Umnak/Cape Aslik",0
"1027",2011,"Unalaska/Bishop Point",1
"1028",2011,"Unalaska/Cape Izigan",34
"1029",2011,"Unga/Acheredin Point",0
"1030",2011,"Unimak/Oksenof Point",0
"1031",2011,"Ushagat/Sw",84
"1032",2011,"Vsevidof",0
"1033",2011,"Wooded (Fish)",225
"1034",2011,"Wosnesenski",0
"1035",2011,"Yunaska",166
"1036",2011,"Akun/Billings Head",136
"1037",2011,"Kiska/Cape St Stephen",39
"1038",2012,"Tag",49
"1039",2012,"Amchitka/East Cape",8
"1040",2012,"Amchitka/Column Rock",15
"1041",2012,"Ayugadak",48
"1042",2012,"Kiska/Cape St Stephen",45
"1043",2012,"Agattu/Gillon Point",64
"1044",2012,"Attu/Cape Wrangell",24
"1045",2012,"Attu/Chichagof Point",0
"1046",2012,"Attu/Chirikof Point",0
"1047",2012,"Agattu/Cape Sabak",69
"1048",2012,"Alaid",7
"1049",2012,"Buldir",0
"1050",2012,"Semisopochnoi/Pochnoi",3
"1051",2012,"Ulak/Hasgox Point",120
"1052",2012,"Kagalaska",0
"1053",2012,"Silak",0
"1054",2012,"Little Tanaga Strait",0
"1055",2010,"Walrus",14
"1056",2013,"Agattu/Cape Sabak",60
"1057",2013,"Attu/Cape Wrangell",32
"1058",2013,"Agattu/Gillon Point",102
"1059",2013,"Kiska/Cape St Stephen",55
"1060",2013,"Kiska/Lief Cove",67
"1061",2013,"Kiska/Pillar Rock",0
"1062",2013,"Kiska/Sirius Point",0
"1063",2013,"Kiska/Witchcraft Point",0
"1064",2013,"Kiska/Wolf Point",0
"1065",2013,"Little Sitkin",0
"1066",2013,"Segula/Gula Point",0
"1067",2013,"Attu/Chichagof Point",0
"1068",2013,"Attu/Chirikof Point",0
"1069",2013,"Attu/Kresta Point",0
"1070",2013,"Alaid",12
"1071",2013,"Nizki",0
"1072",2013,"Shemya",0
"1073",2013,"Buldir/East Cape",0
"1074",2013,"Buldir/Nw Rocks",0
"1075",2013,"Buldir/Rookery",0
"1076",2013,"Ayugadak",50
"1077",2013,"Kiska/Gertrude-Bukhti",0
"1078",2013,"Hawadax (Rat)",0
"1079",2013,"Twin Rocks (Kiska)",0
"1080",2013,"The Pillars",1
"1081",2013,"Vsevidof",0
"1082",2013,"Egg",0
"1083",2013,"Inner Signal",0
"1084",2013,"Old Man Rocks",3
"1085",2013,"Outer Signal",0
"1086",2013,"Aialik Cape",0
"1087",2013,"Aiugnak Columns",0
"1088",2013,"Atkins",255
"1089",2013,"Benjamin",0
"1090",2013,"Biali Rock",185
"1091",2013,"Bird",0
"1092",2013,"Cape Addington",3
"1093",2013,"Cape Bartolome",0
"1094",2013,"Cape Fairfield",0
"1095",2013,"Cape Gull",0
"1096",2013,"Cape Hinchinbrook",0
"1097",2013,"Cape Ommaney",2
"1098",2013,"Cape Resurrection",0
"1099",2013,"Cape St. Elias",43
